Количество собственников,Санузел,Класс энергоэффективности,Газ,Тип перекрытий,Ремонт,Цена,Перепланировка,Мусоропровод,Количество балконов,Площадь,Количество лифтов,Вид из окон,Этаж,Высота потолков,Год постройки,Балкон,Несовершеннолетние собственники,Количество подъездов,Детская площадка,Цена за квадрат,Количество этажей,Жилая,Лифт,Тип фундамента,Кухня,Ссылка,Комнат,Лет в собственности,Тип сделки,Прописано,Материал стен,Грузовой лифт,Количество квартир,Горячее водоснабжение,Серия дома,Прописанные несовершеннолетние
1,Раздельный,,есть,Железобетонный,Косметический,3299000₽,нет,,1,"44,7 м2",,"во двор, на улицу",4,2.3,1972,,нет,,,73803₽/м²,5,28 м2,,Ленточный,6 м2,https://domclick.ru/card/sale__flat__1904017892,2,Больше пяти,Свободная продажа,,Панельный,нет,,,а-литер,нет
,,,,Железобетонный,Евро,4900000₽,,,1,"54,8 м2",,,5,,2017,,,,,89416₽/м²,18,"32,1 м2",есть,,"6,3 м2",https://domclick.ru/card/sale__flat__2008863381,2,,,,Кирпичный,,288,,,
,,,есть,,Косметический,4200000₽,,,1,67 м2,1,,7,,1984,,,,,62686₽/м²,9,,есть,,9 м2,https://domclick.ru/card/sale__flat__2058960729,3,,,,Панельный,,430,,121,
,,,есть,Железобетонный,косметический,3300000₽,,,1,40 м2,,во двор,5,,1973,,,,,82500₽/м²,5,"26,6 м2",,Ленточный,"6,4 м2",https://domclick.ru/card/sale__flat__1956375538,2,,Свободная продажа,,Кирпичный,,,Закрытая с приготовлением горячей воды на ЦТП,,
,,,нет,Железобетонный,Требует ремонта,4600000₽,,,1,"59,6 м2",1,во двор,17,,2022,,,,,77181₽/м²,17,"49,6 м2",,,10 м2,https://domclick.ru/card/sale__flat__2057218237,2,,Свободная продажа,,Панельный,,423,Центральное,,
,,,есть,Железобетонный,Требует ремонта,3750000₽,,,,"66,4 м2",1,"во двор, на улицу",8,2.7,1977,нет,,,,56475₽/м²,9,57 м2,есть,,8 м2,https://domclick.ru/card/sale__flat__2058285133,3,,Свободная продажа,,Панельный,,,,121,
,,,есть,Железобетонный,косметический,2700000₽,,есть,1,28 м2,1,во двор,1,,1985,,,,,96428₽/м²,9,12 м2,есть,,7 м2,https://domclick.ru/card/sale__flat__1952155873,1,,Свободная продажа,,Панельный,,,,111-90 (90),
,,,есть,Железобетонный,косметический,2750000₽,,,1,"33,7 м2",1,на улицу,8,,1978,,,,,81602₽/м²,9,18 м2,есть,,8 м2,https://domclick.ru/card/sale__flat__2059302590,1,,Свободная продажа,,Панельный,,,,121,
,,,есть,Железобетонный,,2150000₽,,,,31 м2,,,3,2.6,1976,нет,,,,69354₽/м²,5,19 м2,,Ленточный,6 м2,https://domclick.ru/card/sale__flat__2059306997,1,,Свободная продажа,,Кирпичный,,,,1-447,
1,Раздельный,,нет,,Без ремонта,8071700₽,нет,,1,"88,7 м2",2,во двор,15,,2025,,нет,,,91041₽/м²,17,"43,2 м2",,,"20,4 м2",https://domclick.ru/card/sale__flat__2058404493,3,Меньше трех,Свободная продажа,,Монолитный,нет,,,,нет
