Горячее водоснабжение,Тип перекрытий,Этаж,Год постройки,Количество балконов,Лифт,Количество этажей,Цена за квадрат,Количество собственников,Прописано,Кухня,Количество квартир,Материал стен,Ссылка,Несовершеннолетние собственники,Количество подъездов,Тип фундамента,Цена,Класс энергоэффективности,Тип сделки,Мусоропровод,Балкон,Ремонт,Комнат,Высота потолков,Лет в собственности,Газ,Количество лифтов,Район,Площадь,Перепланировка,Грузовой лифт,Детская площадка,Прописанные несовершеннолетние,Серия дома,Жилая,Санузел,Вид из окон
Центральное,Железобетонный,5,2023,1,,17,100260₽/м²,,,12 м2,204,Панельный,https://domclick.ru/card/sale__flat__2055953456,,,,3850000₽,,Свободная продажа,,,,1,2.7,,,,дзержинский,"38,4 м2",,,,,,15 м2,,во двор
,,15,2023,1,,19,94797₽/м²,,,"9,9 м2",,Панельный,https://domclick.ru/card/sale__flat__2058977258,,,,3790000₽,,Свободная продажа,,,,1,,,,,дзержинский,40 м2,,,,,,"16,3 м2",,
,Железобетонный,4,1973,1,,5,110000₽/м²,1,1,6 м2,,Кирпичный,https://domclick.ru/card/sale__flat__2059189610,нет,,Иной,3300000₽,,Свободная продажа,,,Евро,1,,От трех до пяти,есть,,дзержинский,30 м2,нет,нет,,нет,v-кирпичный,15 м2,Совмещенный,во двор
,,5,2007,1,есть,5,73815₽/м²,3,,"16,3 м2",20,Панельный,https://domclick.ru/card/sale__flat__2056695532,есть,,,9500000₽,,Свободная продажа,,,Дизайнерский,4,2.5,Больше пяти,есть,2,дзержинский,"128,7 м2",нет,есть,,нет,II-01,"82,8 м2",Совмещенный,во двор
Центральное,Железобетонный,16,2023,1,,17,102500₽/м²,,,17 м2,102,Панельный,https://domclick.ru/card/sale__flat__2056341596,,,,4100000₽,,Свободная продажа,,,,1,2.8,,,,дзержинский,40 м2,,,,,,13 м2,,во двор
,,2,,1,,4,102040₽/м²,,,"19,1 м2",,Монолитный,https://domclick.ru/card/sale__flat__2056125293,,,,4000000₽,,Свободная продажа,,,Требует ремонта,2,2.7,,,1,дзержинский,"39,2 м2",,,,,,"12,2 м2",,"во двор, на улицу"
,Железобетонный,8,1982,1,есть,9,81428₽/м²,,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__2056966827,,,Бетонные столбы,3990000₽,,Свободная продажа,,,косметический,2,,,есть,1,дзержинский,49 м2,,,,,,29 м2,,во двор
,Деревянный,2,1948,1,,2,47970₽/м²,,,"7,5 м2",,Кирпичный,https://domclick.ru/card/sale__flat__2056614142,,,Ленточный,2600000₽,,Свободная продажа,,,Косметический,3,3,,есть,,дзержинский,"54,2 м2",,нет,,,v-кирпичный,"37,2 м2",Совмещенный,"во двор, на улицу"
,Железобетонный,5,1991,1,есть,10,84830₽/м²,,,"7,9 м2",,Панельный,https://domclick.ru/card/sale__flat__2057386047,,,,4250000₽,,Свободная продажа,есть,,Евро,2,2.7,,есть,1,дзержинский,"50,1 м2",,,,,1-панельный,"29,6 м2",,на улицу
,,3,2015,1,есть,19,84717₽/м²,,,14 м2,720,Панельный,https://domclick.ru/card/sale__flat__1710406308,,,,5100000₽,,,,,Косметический,2,,,,,дзержинский,"60,2 м2",,,,,744.0.01 панельный,,,
,Железобетонный,1,1989,1,есть,10,79245₽/м²,,,8 м2,,Панельный,https://domclick.ru/card/sale__flat__2059448831,нет,,,4200000₽,,Свободная продажа,,,,2,2.5,Больше пяти,есть,,дзержинский,53 м2,нет,нет,,нет,1-панельный,30 м2,Раздельный,во двор
,,6,2025,,,21,88235₽/м²,,,14 м2,,Кирпично-монолитный,https://domclick.ru/card/sale__flat__2058480300,,,,7500000₽,,Свободная продажа,,нет,Требует ремонта,3,,,,1,дзержинский,85 м2,,,,,,42 м2,,во двор
,Железобетонный,12,2017,1,есть,19,94594₽/м²,,,11 м2,,Панельный,https://domclick.ru/card/sale__flat__2056970939,,,,3500000₽,,Свободная продажа,,,евроремонт,1,,,,1,дзержинский,37 м2,,,,,1-панельный,19 м2,,на улицу
