Материал стен,Санузел,Площадь,Класс энергоэффективности,Высота потолков,Цена за квадрат,Количество балконов,Ремонт,Комнат,Вид из окон,Этаж,Лифт,Кухня,Год постройки,Район,Газ,Прописано,Жилая,Ссылка,Серия дома,Мусоропровод,Прописанные несовершеннолетние,Несовершеннолетние собственники,Холодное водоснабжение,Перепланировка,Тип фундамента,Грузовой лифт,Количество собственников,Количество квартир,Лет в собственности,Балкон,Тип сделки,Тип перекрытий,Количество этажей,Количество лифтов,Цена,Горячее водоснабжение
,,25 м2,,,106000₽/м²,,,,,2,,,,центральный,,,,https://domclick.ru/card/sale__flat__2058804801,,,,,,,,,,,,нет,Переуступка,,9,,2650000₽,
Кирпичный,,45 м2,,,60000₽/м²,1,,2,,4,,6 м2,1965,центральный,есть,,28 м2,https://domclick.ru/card/sale__flat__2050701101,1-447,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,2700000₽,
Монолитный,,37 м2,,,116189₽/м²,,,1,,13,,,2023,центральный,нет,,,https://domclick.ru/card/sale__flat__2059554640,,,,,,,,нет,,237,,нет,Свободная продажа,Железобетонный,14,,4299000₽,Центральное
Кирпичный,Совмещенный,"30,7 м2",,,76547₽/м²,1,Косметический,1,на улицу,5,,6 м2,1971,центральный,есть,,,https://domclick.ru/card/sale__flat__2059353184,v-кирпичный,,,,,,,нет,1,56,Больше пяти,,Свободная продажа,Железобетонный,5,,2350000₽,
Панельный,,36 м2,,,101388₽/м²,1,,1,во двор,8,есть,9 м2,1995,центральный,есть,,18 м2,https://domclick.ru/card/sale__flat__2057470639,,,,,,,,,,,,,Свободная продажа,Железобетонный,10,1,3650000₽,Закрытая с приготовлением горячей воды на ЦТП
Монолитно-кирпичный,Раздельный,"102,6 м2",,2.7,77582₽/м²,1,Без ремонта,3,"во двор, на улицу",7,,"33,4 м2",2019,центральный,нет,,"42,4 м2",https://domclick.ru/card/sale__flat__2059113279,,,нет,нет,,нет,,нет,,99,,,Переуступка,Железобетонный,11,2,7960000₽,Центральное
Смешанные,,21 м2,,,30000₽/м²,,Косметический,1,,1,,9 м2,1917,центральный,есть,,9 м2,https://domclick.ru/card/sale__flat__1988029240,"14/14, индивидуальный",,,,,,Иной,,,,,нет,,Деревянный,2,,630000₽,
Смешанные,,"46,2 м2",,3,50865₽/м²,,косметический,2,на улицу,1,,"8,5 м2",1917,центральный,есть,,29 м2,https://domclick.ru/card/sale__flat__2059337670,,,,,Центральное,,Ленточный,,,,,нет,Свободная продажа,Деревянный,2,,2350000₽,
Кирпичный,Совмещенный,38 м2,,,117631₽/м²,1,Евро,1,во двор,3,,10 м2,2018,центральный,нет,1,"20,4 м2",https://domclick.ru/card/sale__flat__2059049930,,,нет,нет,,нет,,нет,1,,,,Свободная продажа,Железобетонный,4,2,4470000₽,Центральное
Кирпично-монолитный,,75 м2,,,102666₽/м²,,,3,,3,,"19,6 м2",,центральный,,,"44,8 м2",https://domclick.ru/card/sale__flat__1989833436,,,,,,,,,,,,нет,Свободная продажа,,9,,7700000₽,
Кирпичный,,"40,2 м2",,,77114₽/м²,1,Косметический ремонт,2,,5,,6 м2,1961,центральный,есть,,"25,3 м2",https://domclick.ru/card/sale__flat__2058720820,v-кирпичный,,,,,,Ленточный,,,,,,Свободная продажа,Деревянный,5,,3100000₽,
Панельный,,"51,2 м2",,,70312₽/м²,1,косметический,2,на улицу,5,есть,8 м2,1988,центральный,есть,,,https://domclick.ru/card/sale__flat__2058836264,а-литер,,,,,,,,,,,,Свободная продажа,Железобетонный,9,1,3600000₽,
Панельный,,"42,5 м2",,2.8,77623₽/м²,1,косметический,2,,3,,6 м2,1971,центральный,есть,,32 м2,https://domclick.ru/card/sale__flat__2059383161,1-панельный,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,3299000₽,
Панельный,Совмещенный,"47,3 м2",,2.5,81395₽/м²,,Евро,2,во двор,3,,6 м2,1968,центральный,есть,,32 м2,https://domclick.ru/card/sale__flat__2058910193,П-47,,нет,нет,,нет,Ленточный,нет,,,,нет,Свободная продажа,Железобетонный,5,,3850000₽,
Кирпичный,Совмещенный,17 м2,,,67000₽/м²,,,1,,4,,,1979,центральный,нет,,15 м2,https://domclick.ru/card/sale__flat__2059152105,v-кирпичный,,,,,,Иной,нет,,,,нет,Свободная продажа,Железобетонный,5,,1139000₽,
Монолитный,,"47,8 м2",,2.7,94142₽/м²,1,евроремонт,1,,7,есть,13 м2,2017,центральный,,,"17,5 м2",https://domclick.ru/card/sale__flat__2058199941,1-панельный,,,,,,,,,,,,Свободная продажа,Железобетонный,19,1,4500000₽,
,,31 м2,,,96774₽/м²,,,,,4,,,,центральный,,,16 м2,https://domclick.ru/card/sale__flat__2058945255,,,,,,,,,,,,нет,Свободная продажа,,10,,3000000₽,
Кирпичный,Совмещенный,"50,2 м2",,,119521₽/м²,,Дизайнерский,1,во двор,2,,15 м2,2019,центральный,есть,1,25 м2,https://domclick.ru/card/sale__flat__2057223890,,,нет,нет,,нет,,нет,1,32,От трех до пяти,нет,Свободная продажа,Железобетонный,4,,6000000₽,Поквартирный котел
Монолитный,Совмещенный,"36,9 м2",,,96205₽/м²,1,Евро,1,во двор,7,есть,10 м2,2017,центральный,нет,,18 м2,https://domclick.ru/card/sale__flat__2057410325,1-панельный,,нет,нет,,нет,,нет,1,,,,Свободная продажа,Железобетонный,19,,3550000₽,
Кирпичный,Совмещенный,"88,3 м2",,2.7,90600₽/м²,1,Дизайнерский,3,"во двор, на улицу",13,есть,8 м2,2014,центральный,нет,,"52,3 м2",https://domclick.ru/card/sale__flat__1937874920,,,,,,,Иной,нет,2,,Больше пяти,,Свободная продажа,Железобетонный,18,1,7999999₽,
Кирпичный,Совмещенный,39 м2,,3,87179₽/м²,,Косметический,2,во двор,3,,16 м2,1964,центральный,есть,,16 м2,https://domclick.ru/card/sale__flat__2058712505,v-кирпичный,,нет,нет,,нет,Ленточный,нет,1,,Больше пяти,нет,Свободная продажа,Железобетонный,3,,3400000₽,
Панельный,,44 м2,,,72727₽/м²,,евроремонт,2,во двор,5,,7 м2,1970,центральный,есть,,30 м2,https://domclick.ru/card/sale__flat__2059500938,1-панельный,,,,,,Ленточный,,,,,нет,Альтернатива,Железобетонный,5,,3200000₽,
Кирпичный,Раздельный,"45,7 м2",,3,74398₽/м²,1,Косметический,2,"на улицу, во двор",4,,"5,8 м2",1959,центральный,есть,,"28,5 м2",https://domclick.ru/card/sale__flat__2058251244,v-кирпичный,,нет,нет,,нет,Ленточный,нет,1,,От трех до пяти,,Свободная продажа,Железобетонный,4,,3400000₽,
Кирпичный,,"20,3 м2",,,59113₽/м²,,,1,,2,,"5,4 м2",1960,центральный,есть,,"12,3 м2",https://domclick.ru/card/sale__flat__1863142800,"14/14, индивидуальный",,,,,,Ленточный,,,,,нет,Свободная продажа,Деревянный,2,,1200000₽,
Кирпичный,,"120,2 м2",,,53660₽/м²,,косметический,4,во двор,1,,11 м2,1956,центральный,есть,,45 м2,https://domclick.ru/card/sale__flat__2056765418,,,,,,,,,,,,нет,Свободная продажа,Иное,3,,6450000₽,
Монолитный,Совмещенный,34 м2,,,170588₽/м²,1,Евро,1,во двор,3,,17 м2,2023,центральный,нет,,12 м2,https://domclick.ru/card/sale__flat__2058498339,,,нет,нет,,нет,,нет,,237,Меньше трех,,Свободная продажа,Железобетонный,14,,5800000₽,Центральное
Панельный,,"58,1 м2",,,60240₽/м²,1,Евро,3,"во двор, на улицу",3,,"6,2 м2",1969,центральный,есть,,"41,7 м2",https://domclick.ru/card/sale__flat__2056097125,П-47,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,3500000₽,
Панельный,Раздельный,"44,8 м2",,,60267₽/м²,1,Косметический,2,во двор,5,,,1975,центральный,есть,,,https://domclick.ru/card/sale__flat__2059149608,II-14,,,,,,Ленточный,нет,,,,,Альтернатива,Железобетонный,5,,2700000₽,
Монолитный,Раздельный,74 м2,,2.7,102027₽/м²,2,Евро,3,во двор,4,есть,12 м2,2015,центральный,нет,1,62 м2,https://domclick.ru/card/sale__flat__2059037851,,,нет,нет,,нет,,есть,2,96,Больше пяти,,Свободная продажа,Железобетонный,18,3,7550000₽,
Панельный,Совмещенный,39 м2,,2.7,87179₽/м²,1,Косметический,1,во двор,1,есть,9 м2,1998,центральный,есть,1,30 м2,https://domclick.ru/card/sale__flat__2059049711,111-90 (90),,нет,нет,,нет,,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,10,1,3400000₽,
Монолитный,Совмещенный,"46,5 м2",,,96774₽/м²,1,Евро,1,во двор,10,есть,"11,2 м2",2015,центральный,нет,,21 м2,https://domclick.ru/card/sale__flat__2059194934,,,,,,,,нет,1,96,,,Свободная продажа,Железобетонный,18,1,4500000₽,
Кирпичный,Раздельный,"73,3 м2",,2.8,102319₽/м²,3,Косметический,3,"во двор, на парк, на водоем, на лес, на улицу",1,есть,12 м2,2015,центральный,нет,,60 м2,https://domclick.ru/card/sale__flat__2058116787,v-кирпичный,,,,,,,есть,,172,,,Альтернатива,,14,3,7500000₽,
Панельный,,"44,3 м2",,,56410₽/м²,,косметический,3,во двор,1,,"5,6 м2",1971,центральный,есть,,"31,5 м2",https://domclick.ru/card/sale__flat__1969241774,1-панельный,,,,,,Ленточный,,,,,нет,Свободная продажа,Железобетонный,5,,2499000₽,
Блочный,Совмещенный,"48,9 м2",,2.5,40899₽/м²,,Косметический,3,на улицу,2,,"14,8 м2",1917,центральный,есть,,"27,3 м2",https://domclick.ru/card/sale__flat__2055980527,,,нет,нет,,нет,,нет,1,,Больше пяти,нет,Свободная продажа,,2,,2000000₽,
,,37 м2,,,95945₽/м²,,,2,,9,,14 м2,,центральный,,,10 м2,https://domclick.ru/card/sale__flat__2058729798,,,,,,,,,,,,нет,Переуступка,,,,3550000₽,
Монолитно-кирпичный,,"32,6 м2",,,87423₽/м²,,,1,,1,,"15,6 м2",2020,центральный,есть,,,https://domclick.ru/card/sale__flat__2059240512,,,,,,,,нет,,,,нет,Свободная продажа,Железобетонный,3,,2850000₽,Центральное
Кирпичный,,"43,1 м2",,2.7,64733₽/м²,1,Требует ремонта,3,во двор,4,,"5,8 м2",1964,центральный,есть,,"19,6 м2",https://domclick.ru/card/sale__flat__2056571179,а-литер,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,4,,2790000₽,
Кирпичный,,13 м2,,,50000₽/м²,,,1,,5,,10 м2,1966,центральный,,,,https://domclick.ru/card/sale__flat__2056537160,v-кирпичный,,,,,,Иной,,,,,нет,Свободная продажа,Железобетонный,5,,650000₽,
,,"26,3 м2",,2.7,120532₽/м²,,Требует ремонта,,во двор,5,,6 м2,,центральный,,,13 м2,https://domclick.ru/card/sale__flat__2058252073,,,,,,,,,,,,нет,Свободная продажа,,,1,3170000₽,
Кирпичный,,"53,9 м2",,,61224₽/м²,,,2,,1,,6 м2,1958,центральный,есть,,34 м2,https://domclick.ru/card/sale__flat__2059380457,v-кирпичный,,,,,,,,,,,нет,Свободная продажа,Деревянный,3,,3300000₽,Газовая колонка
Панельный,Раздельный,65 м2,,,90769₽/м²,1,Евро,3,"во двор, на улицу",3,есть,8 м2,1982,центральный,есть,,42 м2,https://domclick.ru/card/sale__flat__2058842497,"14/14, индивидуальный",,,,,,,нет,,,,,Свободная продажа,Железобетонный,9,1,5900000₽,
Панельный,Раздельный,"63,3 м2",,2.6,79778₽/м²,1,Косметический,3,во двор,1,есть,13 м2,1998,центральный,есть,,50 м2,https://domclick.ru/card/sale__flat__2058262618,111-90 (90),,,,,,,нет,,,,,Свободная продажа,Железобетонный,10,1,5050000₽,
Панельный,Раздельный,44 м2,,,68181₽/м²,1,Косметический,2,во двор,4,,6 м2,1969,центральный,есть,1,30 м2,https://domclick.ru/card/sale__flat__2059558557,"14/14, индивидуальный",,нет,нет,,нет,Ленточный,нет,,,Больше пяти,,Свободная продажа,Железобетонный,5,,3000000₽,
,,32 м2,,3.2,110937₽/м²,1,евроремонт,1,во двор,2,,17 м2,1958,центральный,,,10 м2,https://domclick.ru/card/sale__flat__2057315186,,,,,,,,,,,,,Свободная продажа,,4,,3550000₽,
Монолитный,Совмещенный,"42,3 м2",,2.7,87470₽/м²,1,Косметический,1,во двор,2,есть,8 м2,2017,центральный,нет,,20 м2,https://domclick.ru/card/sale__flat__2057166417,,,,,,,,нет,1,,Меньше трех,,Свободная продажа,Железобетонный,11,,3700000₽,Центральное
Панельный,,"61,1 м2",,2.8,71194₽/м²,1,косметический,3,во двор,3,,"5,8 м2",1967,центральный,есть,,"44,7 м2",https://domclick.ru/card/sale__flat__2059479302,П-47,,,,,,Ленточный,,,,,,Свободная продажа,Железобетонный,5,,4350000₽,
Монолитный,,102 м2,,2.8,78039₽/м²,,Требует ремонта,3,во двор,5,,"33,4 м2",2024,центральный,,,,https://domclick.ru/card/sale__flat__2059405918,,,,,,,,,,,,нет,Переуступка,,10,1,7960000₽,
Кирпичный,Раздельный,"79,4 м2",,,34005₽/м²,,Косметический,3,"во двор, на улицу",2,,10 м2,1957,центральный,есть,,60 м2,https://domclick.ru/card/sale__flat__2059027486,,,нет,нет,,нет,Ленточный,нет,1,,Больше пяти,нет,Свободная продажа,Деревянный,2,,2700000₽,Закрытая с приготовлением горячей воды на ЦТП
Кирпичный,Совмещенный,"60,4 м2",,2.5,100993₽/м²,1,Евро,3,"во двор, на улицу",6,есть,7 м2,1970,центральный,есть,,"43,8 м2",https://domclick.ru/card/sale__flat__2059557169,v-кирпичный,,нет,нет,,есть,,нет,2,48,Больше пяти,,Свободная продажа,,9,1,6100000₽,
Смешанные,,"39,3 м2",,,58524₽/м²,,,2,во двор,1,,"5,2 м2",1917,центральный,,,"24,9 м2",https://domclick.ru/card/sale__flat__2055639971,II-14,,,,,,Ленточный,,,,,нет,Свободная продажа,Деревянный,1,,2299999₽,
Панельный,,48 м2,,2.5,58333₽/м²,1,Косметический,3,во двор,5,,6 м2,1968,центральный,есть,,"33,2 м2",https://domclick.ru/card/sale__flat__2059087076,1-464А,,нет,нет,,нет,Ленточный,нет,,,,,Свободная продажа,Железобетонный,5,,2800000₽,
Кирпичный,Раздельный,80 м2,,,85000₽/м²,1,Косметический,3,во двор,5,есть,,2007,центральный,есть,,65 м2,https://domclick.ru/card/sale__flat__2056908367,01-пз индивидуальный проект,,нет,нет,,нет,,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,6,,6800000₽,
Кирпичный,,"43,7 м2",,,78260₽/м²,1,,3,во двор,4,,"5,8 м2",1966,центральный,есть,,"31,6 м2",https://domclick.ru/card/sale__flat__2058542359,,,,,,,Ленточный,,,40,,,Свободная продажа,Бетонный,5,,3420000₽,
,Совмещенный,39 м2,,,85384₽/м²,1,Косметический,2,,2,,14 м2,,центральный,нет,,12 м2,https://domclick.ru/card/sale__flat__2057221286,,,нет,нет,,нет,,нет,,,,,Переуступка,,,2,3330000₽,
Кирпичный,,"24,8 м2",,,68145₽/м²,,косметический,1,во двор,5,,7 м2,1968,центральный,нет,,13 м2,https://domclick.ru/card/sale__flat__2058816779,v-кирпичный,,,,,,Иной,,,,,нет,Свободная продажа,Железобетонный,5,,1690000₽,
,Совмещенный,38 м2,,,89473₽/м²,,Косметический,1,во двор,14,,"17,5 м2",,центральный,нет,,11 м2,https://domclick.ru/card/sale__flat__2059170593,,,нет,нет,,нет,,нет,1,,Меньше трех,нет,Свободная продажа,,,2,3400000₽,
Кирпичный,Раздельный,52 м2,,,71153₽/м²,1,Евро,2,во двор,5,,8 м2,1984,центральный,есть,3,30 м2,https://domclick.ru/card/sale__flat__2059233208,а-литер,,да,есть,,нет,,нет,3,178,Больше пяти,,Альтернатива,Железобетонный,5,,3700000₽,
Кирпичный,,30 м2,,,62333₽/м²,,,1,,3,,6 м2,1963,центральный,есть,,14 м2,https://domclick.ru/card/sale__flat__2057470635,1-447,,,,,,,,,,,нет,Свободная продажа,Железобетонный,4,,1870000₽,Газовая колонка
Панельный,Раздельный,"44,8 м2",,,60267₽/м²,1,Косметический,2,во двор,4,,6 м2,1969,центральный,есть,2,"31,7 м2",https://domclick.ru/card/sale__flat__2018206280,1-панельный,,нет,нет,,нет,Бетонные столбы,нет,1,,Больше пяти,,Свободная продажа,Железобетонный,5,,2700000₽,
Панельный,,36 м2,,,69416₽/м²,1,,1,,9,есть,7 м2,1989,центральный,есть,,14 м2,https://domclick.ru/card/sale__flat__2056537119,1-панельный,,,,,,,,,,,,Свободная продажа,Железобетонный,9,,2499000₽,
Монолитный,,"90,4 м2",,,120575₽/м²,1,Евро,3,,17,есть,10 м2,2017,центральный,,,,https://domclick.ru/card/sale__flat__2012195505,1-панельный,,,,,,,,,,,,,Железобетонный,19,,10900000₽,
,,50 м2,,,97300₽/м²,,,2,,6,,5 м2,,центральный,,,33 м2,https://domclick.ru/card/sale__flat__2057035203,,,,,,,,,,,,нет,Переуступка,,9,,4865000₽,
Иные,,30 м2,,,68333₽/м²,,косметический,2,"во двор, на улицу",1,,6 м2,1957,центральный,есть,,20 м2,https://domclick.ru/card/sale__flat__2059087801,,,,,Центральное,,Ленточный,,,,,нет,Свободная продажа,Деревянный,2,,2050000₽,
Кирпичный,,"41,6 м2",,,60096₽/м²,,Требует ремонта,3,во двор,2,,6 м2,1965,центральный,есть,,34 м2,https://domclick.ru/card/sale__flat__2059267234,v-кирпичный,,,,,,Ленточный,,,,,нет,Свободная продажа,Иное,5,,2500000₽,
