Этаж,Площадь,Ссылка,Грузовой лифт,Количество этажей,Количество квартир,Количество балконов,Прописано,Горячее водоснабжение,Комнат,Кухня,Прописанные несовершеннолетние,Цена,Количество лифтов,Газ,Несовершеннолетние собственники,Серия дома,Тип сделки,Санузел,Год постройки,Перепланировка,Жилая,Цена за квадрат,Вид из окон,Детская площадка,Материал стен,Высота потолков,Ремонт,Балкон,Район,Лет в собственности,Мусоропровод,Тип фундамента,Тип перекрытий,Лифт,Количество собственников
5,49 м2,https://domclick.ru/card/sale__flat__2059387369,нет,5,54,,,,2,9 м2,нет,3100000₽,,есть,нет,,Свободная продажа,Совмещенный,1987,нет,30 м2,63265₽/м²,во двор,,Кирпичный,,Евро,нет,ленинский,,,Бетонные столбы,Железобетонный,,
13,"36,3 м2",https://domclick.ru/card/sale__flat__2058507765,,17,,,,,1,12 м2,,3499000₽,1,,,,Свободная продажа,,2020,,18 м2,96391₽/м²,,,Панельный,,,нет,ленинский,,,,,,
16,"33,4 м2",https://domclick.ru/card/sale__flat__2058251904,,17,,,,,1,15 м2,,2850000₽,1,есть,,,Свободная продажа,,2017,,"18,4 м2",85329₽/м²,во двор,,Панельный,,косметический,нет,ленинский,,,,,,
5,"77,9 м2",https://domclick.ru/card/sale__flat__2059113273,нет,9,,1,,,2,,нет,5300000₽,,нет,нет,,Свободная продажа,Раздельный,2024,нет,70 м2,68035₽/м²,,,Монолитный,,Без ремонта,,ленинский,,,,,,
11,75 м2,https://domclick.ru/card/sale__flat__2059172356,,17,,,,,2,17 м2,,5800000₽,1,есть,,,Свободная продажа,,2013,,50 м2,77333₽/м²,,,Панельный,,,нет,ленинский,,,,,,
11,38 м2,https://domclick.ru/card/sale__flat__2058232630,,18,,1,,,1,10 м2,,3700000₽,1,,,1-панельный,Свободная продажа,,2017,,16 м2,97368₽/м²,,,Панельный,,,,ленинский,,,,Железобетонный,есть,
9,65 м2,https://domclick.ru/card/sale__flat__2058219737,нет,25,,1,,Центральное,2,,нет,8700000₽,1,нет,нет,,Свободная продажа,Совмещенный,2021,нет,31 м2,133846₽/м²,во двор,,Монолитный,,Евро,,ленинский,Меньше трех,,,Железобетонный,есть,1
6,52 м2,https://domclick.ru/card/sale__flat__2058964495,нет,9,,1,,,2,10 м2,нет,4000000₽,,есть,нет,а-литер,Свободная продажа,Раздельный,1984,нет,"29,6 м2",76923₽/м²,на улицу,,Панельный,2.5,Косметический,,ленинский,,,,Железобетонный,есть,
1,130 м2,https://domclick.ru/card/sale__flat__1816253973,,3,,1,,,3,20 м2,,13400000₽,,,,,,,,,,103076₽/м²,,,Кирпичный,,Евро,,ленинский,,,,,,
13,109 м2,https://domclick.ru/card/sale__flat__2059533557,нет,18,,1,,Центральное,3,,нет,8131000₽,2,нет,нет,,Свободная продажа,Совмещенный,2023,нет,90 м2,74596₽/м²,,,Монолитно-кирпичный,2.7,Без ремонта,,ленинский,,,,Железобетонный,,
