Ссылка;Комнат;Цена ₽;Общая площадь м²;Жилая площадь м²;Цена за квадрат ₽/м²;Район;Ремонт;Этаж;Год постройки;Количество этажей;Материал стен
https://domclick.ru/card/sale__flat__2057394355;2;2520000.0;33.0;18.6;76363.0;дзержинский;Косметический;7;1992;9;Кирпичный
https://domclick.ru/card/sale__flat__2058332949;1;2700000.0;37.7;19.5;71618.0;дзержинский;Косметический;9;1977;12;Смешанные
https://domclick.ru/card/sale__flat__2058805791;3;5700000.0;95.0;61.6;60000.0;дзержинский;Дизайнерский;10;2003;14;Монолитный
https://domclick.ru/card/sale__flat__2059492816;2;4659480.0;64.0;33.0;72804.0;дзержинский;Без ремонта;11;2023;17;Панельный
https://domclick.ru/card/sale__flat__2059577932;2;5190000.0;40.0;20.0;129750.0;дзержинский;Дизайнерский;9;2023;17;Панельный
https://domclick.ru/card/sale__flat__2058366061;2;1850000.0;35.0;26.0;52857.0;дзержинский;Косметический;8;1983;9;Кирпичный
https://domclick.ru/card/sale__flat__2058252003;2;3200000.0;50.6;29.0;63241.0;дзержинский;косметический;3;1977;5;Панельный
https://domclick.ru/card/sale__flat__2059117457;3;5670000.0;79.8;65.0;71052.0;дзержинский;Без ремонта;7;2023;17;Панельный
https://domclick.ru/card/sale__flat__2059094557;1;4490000.0;37.7;27.0;119098.0;дзержинский;Косметический;6;2020;19;Панельный
https://domclick.ru/card/sale__flat__1807504322;2;3850000.0;57.0;29.4;67543.0;дзержинский;Требует ремонта;3;2022;17;Панельный
https://domclick.ru/card/sale__flat__2059321178;2;3000000.0;48.0;32.0;62500.0;дзержинский;Косметический;4;1972;5;Панельный
https://domclick.ru/card/sale__flat__2008863381;2;4900000.0;54.8;32.1;89416.0;дзержинский;Евро;5;2017;18;Кирпичный
https://domclick.ru/card/sale__flat__2057567839;2;1750000.0;40.0;30.0;43750.0;дзержинский;Косметический;5;1985;9;Кирпичный
https://domclick.ru/card/sale__flat__2059223439;2;3600000.0;56.0;30.0;64285.0;дзержинский;косметический;4;1980;9;Панельный
https://domclick.ru/card/sale__flat__2059492187;2;4323820.0;61.0;31.0;70882.0;дзержинский;Без ремонта;11;2018;17;Монолитный
https://domclick.ru/card/sale__flat__1838082490;1;3900000.0;52.0;35.0;75000.0;ленинский;Без ремонта;8;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__2057236256;1;5850000.0;56.0;20.0;104464.0;ленинский;Дизайнерский;16;2014;20;Монолитный
https://domclick.ru/card/sale__flat__2059581616;2;6900000.0;65.0;52.0;106153.0;ленинский;Косметический;4;2015;14;Кирпичный
https://domclick.ru/card/sale__flat__1950163271;2;5700000.0;60.0;45.0;95000.0;ленинский;Косметический;3;2016;18;Кирпичный
https://domclick.ru/card/sale__flat__2058030836;2;6448888.0;65.0;45.0;99213.0;ленинский;евроремонт;5;2014;16;Смешанные
https://domclick.ru/card/sale__flat__2056208010;2;4861800.0;66.6;33.2;73000.0;ленинский;Косметический;3;2023;18;Монолитно-кирпичный
https://domclick.ru/card/sale__flat__1971508823;1;3650000.0;48.4;24.0;75460.0;ленинский;Отсутствует;15;2023;18;Монолитно-кирпичный
https://domclick.ru/card/sale__flat__1579206291;3;15590000.0;108.0;65.0;144351.0;ленинский;Евро;9;2014;11;Блочный
https://domclick.ru/card/sale__flat__2059140498;2;4700000.0;66.0;32.5;71212.0;ленинский;Косметический;4;2007;10;Панельный
https://domclick.ru/card/sale__flat__2058226263;1;4200000.0;43.2;18.0;97222.0;ленинский;косметический;12;2009;16;Кирпичный
https://domclick.ru/card/sale__flat__2057680729;1;3400000.0;36.5;19.4;93150.0;ленинский;Косметический;10;2016;15;Панельный
https://domclick.ru/card/sale__flat__2059545138;3;7350000.0;78.0;44.0;94230.0;ленинский;Без ремонта;16;2021;17;Панельный
https://domclick.ru/card/sale__flat__1822880055;1;5000000.0;45.6;11.4;109649.0;ленинский;Евро;16;2021;18;Панельный
https://domclick.ru/card/sale__flat__2059491198;2;4692240.0;68.0;45.0;69003.0;ленинский;Без ремонта;12;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__2059560387;3;3800000.0;41.4;29.0;91787.0;ленинский;Косметический;2;1970;5;Кирпичный
https://domclick.ru/card/sale__flat__2057914415;3;5600000.0;67.0;50.0;83582.0;ленинский;Косметический;9;1987;11;Панельный
https://domclick.ru/card/sale__flat__2059380504;1;3600000.0;42.3;12.9;85207.0;ленинский;Требует ремонта;11;2024;12;Монолитный
https://domclick.ru/card/sale__flat__2056101821;1;3880000.0;38.0;21.0;102105.0;ленинский;Евро;3;2020;17;Панельный
https://domclick.ru/card/sale__flat__2017608964;2;4100000.0;62.2;28.6;65916.0;ленинский;Косметический;3;2010;10;Смешанные
https://domclick.ru/card/sale__flat__2057322613;3;3550000.0;57.7;36.0;61525.0;ленинский;косметический;5;1966;5;Кирпичный
https://domclick.ru/card/sale__flat__2058126365;3;3300000.0;59.4;49.0;55555.0;ленинский;косметический;2;1985;5;Кирпичный
https://domclick.ru/card/sale__flat__2058657443;1;3700000.0;34.1;16.0;108504.0;ленинский;Дизайнерский;12;2022;14;Кирпичный
https://domclick.ru/card/sale__flat__2015792306;4;16000000.0;194.0;80.0;82474.0;ленинский;Евро;4;1999;4;Кирпичный
https://domclick.ru/card/sale__flat__2059491685;2;4200000.0;55.4;34.0;75812.0;ленинский;Косметический;2;2018;3;Монолитный
https://domclick.ru/card/sale__flat__2056868067;1;2690000.0;32.5;25.0;82769.0;ленинский;Без ремонта;2;2021;5;Кирпичный
https://domclick.ru/card/sale__flat__2058894056;1;3549900.0;42.0;17.0;84521.0;ленинский;Евро;1;2011;10;Панельный
https://domclick.ru/card/sale__flat__2058252022;1;2199000.0;31.2;18.0;70480.0;ленинский;Требует ремонта;4;2019;3;Блочный
https://domclick.ru/card/sale__flat__2059049834;1;3650000.0;49.7;14.9;73425.0;ленинский;предчистовая;8;2024;10;Монолитный
https://domclick.ru/card/sale__flat__2059536718;1;2899000.0;33.0;16.0;87848.0;ленинский;Без ремонта;5;1980;16;Панельный
https://domclick.ru/card/sale__flat__2056567143;2;5650000.0;67.0;35.0;84328.0;ленинский;евроремонт;9;2016;14;Кирпичный
https://domclick.ru/card/sale__flat__2059204848;2;3400000.0;42.2;29.0;80568.0;ленинский;Косметический;1;1965;5;Панельный
https://domclick.ru/card/sale__flat__2058251943;2;2199000.0;44.6;30.0;49304.0;ленинский;евроремонт;2;1962;2;Кирпичный
https://domclick.ru/card/sale__flat__1864781066;2;5500000.0;76.2;31.0;72159.0;ленинский;Без ремонта;7;2024;12;Кирпичный
https://domclick.ru/card/sale__flat__2059195563;4;13000000.0;134.2;100.0;96870.0;ленинский;Евро;8;2010;10;Кирпичный
https://domclick.ru/card/sale__flat__2059320750;2;6200000.0;61.5;50.0;100813.0;ленинский;Евро;7;2015;14;Смешанные
https://domclick.ru/card/sale__flat__2059318706;2;3700000.0;46.5;38.0;79569.0;ленинский;Косметический;2;1983;5;Панельный
https://domclick.ru/card/sale__flat__2058200380;3;10990000.0;76.0;43.0;144605.0;ленинский;Дизайнерский;2;1936;4;Кирпичный
https://domclick.ru/card/sale__flat__2058544869;3;5600000.0;74.5;40.0;75167.0;ленинский;Косметический;1;2018;17;Панельный
https://domclick.ru/card/sale__flat__2057571950;1;3450000.0;35.0;19.4;98571.0;ленинский;Косметический;13;2019;17;Панельный
https://domclick.ru/card/sale__flat__1965456832;3;5752780.0;72.8;45.0;79000.0;ленинский;Без ремонта;5;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__2049253384;2;4050000.0;47.1;26.1;85987.0;ленинский;Косметический ремонт;4;1984;9;Панельный
https://domclick.ru/card/sale__flat__1935134467;1;845000.0;17.0;17.0;49705.0;ленинский;косметический;3;1978;9;Кирпичный
https://domclick.ru/card/sale__flat__2057441073;2;4300000.0;52.3;30.0;82217.0;ленинский;Косметический;3;2013;14;Блочный
https://domclick.ru/card/sale__flat__1948244528;3;5415200.0;67.7;47.0;80000.0;ленинский;Без ремонта;5;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__2059527185;1;1890000.0;29.7;23.0;63636.0;ленинский;Косметический;3;1992;9;Монолитный
https://domclick.ru/card/sale__flat__2058251990;4;3100000.0;82.5;47.7;37575.0;ленинский;косметический;3;1973;5;Кирпичный
https://domclick.ru/card/sale__flat__2058885977;1;4100000.0;45.0;22.0;91111.0;ленинский;Евро;7;2012;12;Кирпичный
https://domclick.ru/card/sale__flat__1946470301;3;9500000.0;104.9;65.0;90562.0;ленинский;Дизайнерский;6;2014;14;Кирпичный
https://domclick.ru/card/sale__flat__2056344254;3;2540000.0;40.7;30.9;62407.0;ленинский;косметический;1;1962;4;Кирпичный
https://domclick.ru/card/sale__flat__2058439300;2;990000.0;21.5;18.5;46046.0;ленинский;косметический;1;1917;1;Деревянный
https://domclick.ru/card/sale__flat__1817552105;2;6300000.0;82.0;36.0;76829.0;ленинский;Дизайнерский;6;2007;9;Кирпичный
https://domclick.ru/card/sale__flat__1703785853;1;3382500.0;45.1;32.0;75000.0;ленинский;Без ремонта;2;2022;17;Кирпичный
https://domclick.ru/card/sale__flat__1822880054;1;4700000.0;48.3;13.0;97308.0;ленинский;Евро;15;2021;18;Панельный
https://domclick.ru/card/sale__flat__2059113077;1;3200000.0;44.0;35.0;72727.0;ленинский;Без ремонта;5;2024;12;Монолитный
https://domclick.ru/card/sale__flat__2056415145;1;3250000.0;43.0;35.0;75581.0;ленинский;Без ремонта;6;2023;17;Панельный
https://domclick.ru/card/sale__flat__1794469436;2;3050000.0;48.1;30.4;63409.0;ленинский;косметический;1;1977;11;Кирпичный
https://domclick.ru/card/sale__flat__2058251905;3;6300000.0;80.7;46.1;78066.0;ленинский;косметический;13;2013;14;Блочный
