Ссылка;Комнат;Цена ₽;Общая площадь м²;Жилая площадь м²;Цена за квадрат ₽/м²;Район;Ремонт;Этаж;Год постройки;Количество этажей;Материал стен
https://domclick.ru/card/sale__flat__2056908367;3;6800000.0;80.0;65.0;85000.0;центральный;Косметический;5;2007;6;Кирпичный
https://domclick.ru/card/sale__flat__2058816779;1;1690000.0;24.8;13.0;68145.0;центральный;косметический;5;1968;5;Кирпичный
https://domclick.ru/card/sale__flat__2059233208;2;3700000.0;52.0;30.0;71153.0;центральный;Евро;5;1984;5;Кирпичный
https://domclick.ru/card/sale__flat__2018206280;2;2700000.0;44.8;31.7;60267.0;центральный;Косметический;4;1969;5;Панельный
https://domclick.ru/card/sale__flat__2059087801;2;2050000.0;30.0;20.0;68333.0;центральный;косметический;1;1957;2;Иные
https://domclick.ru/card/sale__flat__2059267234;3;2500000.0;41.6;34.0;60096.0;центральный;Требует ремонта;2;1965;5;Кирпичный
https://domclick.ru/card/sale__flat__2059046014;1;2300000.0;31.0;18.0;74193.0;центральный;Косметический;3;1964;5;Кирпичный
https://domclick.ru/card/sale__flat__2059092703;3;2350000.0;42.6;34.0;55164.0;центральный;Требует ремонта;3;1963;4;Кирпичный
https://domclick.ru/card/sale__flat__2058974682;1;1900000.0;29.8;16.0;63758.0;центральный;Без ремонта;5;1967;5;Кирпичный
https://domclick.ru/card/sale__flat__2058199538;2;4100000.0;45.1;32.0;90909.0;центральный;косметический;3;1966;5;Кирпичный
https://domclick.ru/card/sale__flat__2058251972;1;870000.0;15.0;12.5;58000.0;центральный;косметический;4;1969;5;Кирпичный
https://domclick.ru/card/sale__flat__1979522325;1;3750000.0;44.4;17.4;84459.0;центральный;Без ремонта;5;1957;3;Кирпичный
https://domclick.ru/card/sale__flat__2059232902;2;2975000.0;44.0;31.0;67613.0;центральный;Косметический ремонт;5;1970;5;Панельный
https://domclick.ru/card/sale__flat__2057309617;1;3099000.0;37.7;20.0;82201.0;центральный;Евро;3;1993;10;Панельный
https://domclick.ru/card/sale__flat__2056339393;1;4280000.0;44.6;21.5;95964.0;центральный;Евро;13;2010;16;Кирпичный
https://domclick.ru/card/sale__flat__2059377808;2;3370000.0;54.1;38.1;62292.0;центральный;Косметический;1;1966;5;Кирпичный
https://domclick.ru/card/sale__flat__2019248544;1;2900000.0;30.3;18.2;95709.0;центральный;Косметический;3;1970;5;Панельный
https://domclick.ru/card/sale__flat__2059382933;3;4200000.0;55.0;30.0;76363.0;центральный;Требует ремонта;2;1965;6;Кирпичный
https://domclick.ru/card/sale__flat__2058251886;2;2749000.0;43.4;20.0;63341.0;центральный;косметический;5;1968;5;Панельный
https://domclick.ru/card/sale__flat__2059438284;1;3500000.0;38.3;20.0;91383.0;центральный;Евро;10;1998;10;Панельный
https://domclick.ru/card/sale__flat__2058494485;1;2390000.0;30.4;20.0;78618.0;центральный;Косметический;5;1966;5;Кирпичный
https://domclick.ru/card/sale__flat__2059405155;1;2290000.0;30.2;17.5;75827.0;центральный;Косметический;5;1972;5;Кирпичный
https://domclick.ru/card/sale__flat__2059297483;1;650000.0;16.0;10.0;40625.0;центральный;косметический;2;1979;5;Кирпичный
https://domclick.ru/card/sale__flat__2056592916;2;13999998.0;86.0;50.0;162790.0;центральный;Дизайнерский;8;2019;10;Кирпичный
https://domclick.ru/card/sale__flat__2059554563;2;3050000.0;44.0;28.0;69318.0;центральный;Косметический;5;1969;5;Панельный
https://domclick.ru/card/sale__flat__2018201475;2;3450000.0;47.5;28.2;72631.0;центральный;Косметический;9;1993;10;Кирпичный
https://domclick.ru/card/sale__flat__2058992091;3;9300000.0;100.0;60.0;93000.0;центральный;Евро;1;2015;14;Кирпичный
https://domclick.ru/card/sale__flat__2058918657;3;3500000.0;44.0;31.0;79545.0;центральный;Косметический;4;1965;6;Кирпичный
https://domclick.ru/card/sale__flat__2058745017;2;3200000.0;40.9;26.9;78239.0;центральный;Евро;1;1966;5;Кирпичный
https://domclick.ru/card/sale__flat__2059290936;3;3380000.0;41.9;30.3;80668.0;центральный;Косметический;5;1968;5;Кирпичный
https://domclick.ru/card/sale__flat__1969449040;2;2700000.0;43.8;30.0;61643.0;центральный;косметический;5;1969;5;Панельный
https://domclick.ru/card/sale__flat__2059474484;1;1990000.0;31.0;19.0;64193.0;центральный;Косметический;1;1957;2;Кирпичный
https://domclick.ru/card/sale__flat__2058439612;2;3500000.0;51.0;29.0;68627.0;центральный;Косметический;8;1995;10;Панельный
https://domclick.ru/card/sale__flat__2056877866;1;1450000.0;37.5;20.0;38666.0;центральный;Без ремонта;4;1977;5;Кирпичный
https://domclick.ru/card/sale__flat__2059530656;2;2000000.0;44.6;34.0;44843.0;центральный;Без ремонта;3;1971;5;Кирпичный
https://domclick.ru/card/sale__flat__2058486836;1;5000000.0;67.5;51.0;74074.0;центральный;Евро;5;2006;12;Кирпичный
https://domclick.ru/card/sale__flat__2058817293;2;2000000.0;38.6;24.0;51813.0;центральный;Без ремонта;2;1917;2;Смешанные
https://domclick.ru/card/sale__flat__2059382932;3;4700000.0;75.0;50.0;62666.0;центральный;косметический;2;1967;3;Кирпичный
https://domclick.ru/card/sale__flat__2059380140;3;3630000.0;43.9;33.0;82687.0;центральный;Косметический;2;1969;5;Панельный
https://domclick.ru/card/sale__flat__2059557244;2;2950000.0;45.0;31.0;65555.0;центральный;Косметический;1;1970;5;Панельный
https://domclick.ru/card/sale__flat__1973682746;1;1800000.0;31.0;17.4;58064.0;центральный;Без ремонта;5;1969;5;Панельный
https://domclick.ru/card/sale__flat__2056206907;1;3370000.0;35.0;16.0;96285.0;центральный;Евро;5;2017;19;Монолитный
https://domclick.ru/card/sale__flat__2059272144;1;2520000.0;30.1;17.5;83720.0;центральный;косметический;4;1962;4;Кирпичный
https://domclick.ru/card/sale__flat__2056555069;2;5999999.0;50.0;32.0;119999.0;центральный;Косметический;17;2015;18;Монолитный
https://domclick.ru/card/sale__flat__2058635189;1;650000.0;12.8;6.0;50781.0;центральный;косметический;4;1976;5;Кирпичный
https://domclick.ru/card/sale__flat__2059437994;2;6800000.0;64.1;34.0;106084.0;центральный;евроремонт;4;2007;6;Кирпичный
https://domclick.ru/card/sale__flat__2058480974;3;4000000.0;61.7;40.0;64829.0;центральный;Косметический;5;1971;5;Кирпичный
https://domclick.ru/card/sale__flat__2058600899;2;3099000.0;38.9;29.0;79665.0;центральный;Косметический;5;1968;5;Кирпичный
https://domclick.ru/card/sale__flat__2058921080;3;10900000.0;116.6;69.5;93481.0;центральный;евроремонт;2;2015;17;Блочный
https://domclick.ru/card/sale__flat__2059110764;2;3200000.0;47.7;38.8;67085.0;центральный;Косметический;1;1976;5;Панельный
https://domclick.ru/card/sale__flat__2058975496;3;11000000.0;125.3;93.0;87789.0;центральный;Косметический;12;2006;12;Монолитный
https://domclick.ru/card/sale__flat__2059381842;3;3600000.0;47.3;33.0;76109.0;центральный;косметический;5;1969;5;Панельный
https://domclick.ru/card/sale__flat__2057452812;2;3320000.0;44.4;31.0;74774.0;центральный;Косметический;4;1968;5;Панельный
https://domclick.ru/card/sale__flat__2059492186;2;2950000.0;44.0;31.0;67045.0;центральный;Косметический;2;1970;5;Панельный
https://domclick.ru/card/sale__flat__2056822564;3;1570000.0;42.5;25.0;36941.0;центральный;Требует ремонта;2;1931;5;Кирпичный
